Model,Condition,Symbol,MAE,MSE,R2
CNN,wN10_k0p1,AMD,0.0961527567828494,0.0147298542196585,0.5029694516484762
CNN,wN10_k0p1,WMT,0.0383606318733783,0.0021344362022494,-0.4901732255569326
CNN,wN10_k0p1,TSM,0.0802874062486283,0.011215477508918,0.5129813158781991
CNN,wN10_k0p1,KO,0.0348586540469417,0.0017472052932643,0.6065873208171633
CNN,wN10_k0p1,GOOG,0.046745682143813,0.0032365230146889,0.2942118085387428
CNN,wN20_k0p1,AMD,0.1055183497356542,0.0177381381369179,0.4014607073869728
CNN,wN20_k0p1,KO,0.0432172312161911,0.0029527155465713,0.3351463972094852
CNN,wN20_k0p1,WMT,0.0410037926343941,0.0022597547231262,-0.5776653250069914
CNN,wN20_k0p1,GOOG,0.0418780191423309,0.002784528692392,0.3927781570049355
CNN,wN20_k0p1,TSM,0.067169559323218,0.0078261511245676,0.6601587565581081
CNN,wN20_k0p6,AMD,0.1047571772098422,0.0168466883567759,0.4315409625235451
CNN,wN20_k0p6,KO,0.0374015784007257,0.0021280904636145,0.5208246139926387
CNN,wN20_k0p6,WMT,0.0305321726784651,0.0013399806570435,0.0644820886255337
CNN,wN20_k0p6,GOOG,0.0442101603453765,0.003215255290861,0.2988496585614097
CNN,wN20_k0p6,TSM,0.0665476587973074,0.0073155797584955,0.6823297068949978
CNN,wN10_k0p3,AMD,0.1088211184292419,0.0181160630490287,0.3887083594342377
CNN,wN10_k0p3,KO,0.0366020167774181,0.0019456925689849,0.5618945699275117
CNN,wN10_k0p3,WMT,0.0340132859350624,0.0015897031776535,-0.1098636302296105
CNN,wN10_k0p3,GOOG,0.0531310505869066,0.0042049391448698,0.0830294174356409
CNN,wN10_k0p3,TSM,0.0700500182735572,0.0082882487960183,0.6400927183794637
CNN,wN10_k0p6,AMD,0.1019284537145766,0.0169278339849429,0.4288028596568939
CNN,wN10_k0p6,KO,0.0383556453417452,0.0021829763372044,0.5084661357636902
CNN,wN10_k0p6,WMT,0.042133081935313,0.0027805856798085,-0.9412875058298078
CNN,wN10_k0p6,GOOG,0.0427223420439717,0.0027620541083972,0.3976791868816264
CNN,wN10_k0p6,TSM,0.0668758379552975,0.0078954378893049,0.6571500617466244
CNN,wN20_k0p3,AMD,0.1205118765367861,0.0244439561293647,0.1751858003696929
CNN,wN20_k0p3,KO,0.0431343023392514,0.0027282452433608,0.3856896640616769
CNN,wN20_k0p3,WMT,0.037127658775813,0.0018780867200202,-0.3112008419360077
CNN,wN20_k0p3,GOOG,0.0426402845901596,0.0027474997813689,0.4008530472572792
CNN,wN20_k0p3,TSM,0.0689212848809459,0.0076598569692388,0.6673798811728204
GRU,wN20_k6,WMT,0.0130018998189854,0.000308020955801,0.7849527754629388
GRU,wN20_k6,AMD,0.0503088472649844,0.004630845944848,0.8437410265590111
GRU,wN20_k6,KO,0.0156352434031203,0.0004937963090048,0.8888134498876057
GRU,wN20_k6,GOOG,0.0433626683614532,0.0056745648415855,-0.2374516846305019
GRU,wN20_k6,TSM,0.0372406269314185,0.0024831958941514,0.8921701910752631
GRU,wN10_k3,WMT,0.0153251006582092,0.0004507351426242,0.6853157566160326
GRU,wN10_k3,AMD,0.045814892752929,0.0038273722457324,0.8708526983584836
GRU,wN10_k3,KO,0.0128156960433482,0.0003090827612013,0.9304048141095782
GRU,wN10_k3,GOOG,0.0502489220165112,0.0042281731595598,0.0779627785969693
GRU,wN10_k3,TSM,0.031208771767163,0.0017838039625623,0.922540448421606
GRU,wN10_k6,WMT,0.014990930886876,0.0004250491913829,0.7032486031318281
GRU,wN10_k6,AMD,0.0459048716117288,0.0037020040174317,0.875083007656112
GRU,wN10_k6,KO,0.013620486289038,0.000358052796224,0.91937838650418
GRU,wN10_k6,GOOG,0.0489473904289868,0.0136763012072666,-1.9823893885963135
GRU,wN10_k6,TSM,0.032330528978276,0.0018086430208963,0.9214618420497376
GRU,wN10_k1,WMT,0.0187550642469499,0.0006100969486693,0.5740560730075455
GRU,wN10_k1,AMD,0.0683047340435868,0.0080610986910654,0.7279937572370013
GRU,wN10_k1,KO,0.0173036286107288,0.0005211980176305,0.8826434939893385
GRU,wN10_k1,GOOG,0.0978438136946785,0.0117870330441715,-1.5703969034619605
GRU,wN10_k1,TSM,0.0394240101346753,0.0026395483429931,0.8853807731629588
GRU,wN20_k1,WMT,0.014364112552632,0.0003882093971397,0.7289685918381821
